1,Al-Fatihah,7
2,Al-Baqarah,286
3,Āl-'Imran,200
4,An-Nisa,176
5,Al-Ma'idah,120
6,Al-An'am,165
7,Al-A'raf,206
8,Al-Anfal,75
9,At-Tawbah,129
10,Yunus,109
11,Hud,123
12,Yusuf,111
13,Ar-Ra'd,43
14,Ibrahim,52
15,Al-Hijr,99
16,An-Nahl,128
17,Al-Israa,111
18,Al-Kahf,110
19,Maryam,98
20,Ta-Ha,135
21,Al-Anbiya,112
22,Al-Hajj,78
23,Al-Mu'minun,118
24,An-Nur,64
25,Al-Furqan,77
26,Ash-Shu'ara,227
27,An-Naml,93
28,Al-Qasas,88
29,Al-Ankabut,69
30,Ar-Rum,60
31,Luqmaan,34
32,As-Sajdah,30
33,Al-Ahzaab,73
34,Saba,54
35,Faatir,45
36,Ya-Sin,83
37,As-Saaffaat,182
38,Saad,88
39,Az-Zumar,75
40,Ghafir,85
41,Fussilat,54
42,Ash-Shura,53
43,Az-Zukhruf,89
44,Ad-Dukhaan,59
45,Al-Jaathiyah,37
46,Al-Ahqaaf,35
47,Muhammad,38
48,Al-Fath,29
49,Al-Hujuraat,18
50,Qaaf,45
51,Adh-Dhaariyaat,60
52,At-Toor,49
53,An-Najm,62
54,Al-Qamar,55
55,Ar-Rahman,78
56,Al-Waqi'ah,96
57,Al-Hadeed,29
58,Al-Mujadila,22
59,Al-Hashr,24
60,Al-Mumtahanah,13
61,As-Saff,14
62,Al-Jumu'ah,11
63,Al-Munafiqoon,11
64,At-Taghabun,18
65,At-Talaq,12
66,At-Tahreem,12
67,Al-Mulk,30
68,Al-Qalam,52
69,Al-Haaqqa,52
70,Al-Ma'aarij,44
71,Nuh,28
72,Al-Jinn,28
73,Al-Muzzammil,20
74,Al-Muddaththir,56
75,Al-Qiyamah,40
76,Al-Insaan,31
77,Al-Mursalaat,50
78,An-Naba',40
79,An-Naazi'aat,46
80,Abasa,42
81,At-Takweer,29
82,Al-Infitar,19
83,Al-Mutaffifeen,36
84,Al-Inshiqaaq,25
85,Al-Burooj,22
86,At-Taariq,17
87,Al-A'la,19
88,Al-Ghaashiyah,26
89,Al-Fajr,30
90,Al-Balad,20
91,Ash-Shams,15
92,Al-Layl,21
93,Ad-Dhuha,11
94,Ash-Sharh,8
95,At-Tin,8
96,Al-Alaq,19
97,Al-Qadr,5
98,Al-Bayyinah,8
99,Az-Zalzalah,8
100,Al-'Aadiyat,11
101,Al-Qaari'ah,11
102,At-Takaathur,8
103,Al-'Asr,3
104,Al-Humazah,9
105,Al-Feel,5
106,Quraish,4
107,Al-Maa'oon,7
108,Al-Kawthar,3
109,Al-Kaafiroon,6
110,An-Nasr,3
111,Al-Masad,5
112,Al-Ikhlas,4
113,Al-Falaq,5
114,An-Naas,6
